id,acquisition_date,maintenance_state_id/id,co2,capacity_vehicle,car_value,category_unit_id/id,vin_sn,color,company_id/id,create_uid/id,create_date,doors,driver_id/id,employee_driver_id/id,fuel_type,horsepower,horsepower_tax,odometer,write_uid/id,write_date,license_plate,location,model_id/id,no_vehicle,odometer_unit,other_service_log_count,power,seats,state_id/id,maintenance_state_color,tag_ids/id,transmission,vehicle_type
fleet.vehicle_6,2016-09-01,asset.asset_state_operable,,,20000,estate_vehicle.master_unit_3,5454541,Blue,,base.user_root,2016-09-01 06:28:53,5,,,Diesel,0,0,7981,base.user_root,2016-09-02 02:39:08,DM-9985-BA,Mobil Operational,fleet.model_mitsubishi2,,Kilometers,0,0,4,fleet.vehicle_state_active,1,"fleet.vehicle_tag_senior,fleet.vehicle_tag_leasing,fleet.vehicle_tag_break",Manual,Vehicle Internal
fleet.vehicle_7,2016-09-01,asset.asset_state_operable,,,20000,estate_vehicle.master_unit_3,5454541,RED,,base.user_root,2016-09-01 06:28:53,5,,,Diesel,0,0,7981,base.user_root,2016-09-02 02:39:08,B-9245-SBB,Mobil Operational,fleet.model_toyota1,,Kilometers,0,0,4,fleet.vehicle_state_active,1,"fleet.vehicle_tag_senior,fleet.vehicle_tag_leasing,fleet.vehicle_tag_break",Manual,Vehicle Internal
fleet.vehicle_8,2016-09-01,asset.asset_state_operable,,,20000,estate_vehicle.master_unit_3,5454541,White,,base.user_root,2016-09-01 06:28:53,5,,,Diesel,0,0,7981,base.user_root,2016-09-02 02:39:08,KT-8546-K,PU-04,fleet.model_ford1,,Kilometers,0,0,4,fleet.vehicle_state_active,1,"fleet.vehicle_tag_senior,fleet.vehicle_tag_leasing,fleet.vehicle_tag_break",Manual,Vehicle Internal
fleet.vehicle_9,2016-09-01,asset.asset_state_operable,,,20000,estate_vehicle.master_unit_3,5454541,White,,base.user_root,2016-09-01 06:28:53,5,,,Diesel,0,0,7981,base.user_root,2016-09-02 02:39:08,KT-8026-KN,PU-05,fleet.model_ford1,,Kilometers,0,0,4,fleet.vehicle_state_active,1,"fleet.vehicle_tag_senior,fleet.vehicle_tag_leasing,fleet.vehicle_tag_break",Manual,Vehicle Internal
fleet.vehicle_10,2016-09-01,asset.asset_state_operable,,,20000,estate_vehicle.master_unit_3,5454541,Green,,base.user_root,2016-09-01 06:28:53,5,,,Diesel,0,0,7981,base.user_root,2016-09-02 02:39:08,BK-9939-LF,PU-01,fleet.model_daihatsu2,,Kilometers,0,0,4,fleet.vehicle_state_active,1,"fleet.vehicle_tag_senior,fleet.vehicle_tag_leasing,fleet.vehicle_tag_break",Manual,Vehicle Internal
fleet.vehicle_11,2016-09-01,asset.asset_state_operable,,,20000,estate_vehicle.master_unit_3,5454541,Green,,base.user_root,2016-09-01 06:28:53,5,,,Diesel,0,0,7981,base.user_root,2016-09-02 02:39:08,BK-8093-XY,PU-02,fleet.model_daihatsu2,,Kilometers,0,0,4,fleet.vehicle_state_active,1,"fleet.vehicle_tag_senior,fleet.vehicle_tag_leasing,fleet.vehicle_tag_break",Manual,Vehicle Internal
fleet.vehicle_12,2016-09-01,asset.asset_state_operable,,,20000,estate_vehicle.master_unit_3,5454541,Green,,base.user_root,2016-09-01 06:28:53,5,,,Diesel,0,0,7981,base.user_root,2016-09-02 02:39:08,B-9655-BT,PU-03,fleet.model_daihatsu2,,Kilometers,0,0,4,fleet.vehicle_state_active,1,"fleet.vehicle_tag_senior,fleet.vehicle_tag_leasing,fleet.vehicle_tag_break",Manual,Vehicle Internal
fleet.vehicle_13,2016-09-01,asset.asset_state_operable,,,20000,estate_vehicle.master_unit_3,5454541,Green,,base.user_root,2016-09-01 06:28:53,5,,,Diesel,0,0,7981,base.user_root,2016-09-02 02:39:08,DD-8962-MT,PU-06,fleet.model_daihatsu2,,Kilometers,0,0,4,fleet.vehicle_state_active,1,"fleet.vehicle_tag_senior,fleet.vehicle_tag_leasing,fleet.vehicle_tag_break",Manual,Vehicle Internal
fleet.vehicle_14,2016-09-01,asset.asset_state_operable,,,20000,estate_vehicle.master_unit_3,5454541,Green,,base.user_root,2016-09-01 06:28:53,5,,,Diesel,0,0,7981,base.user_root,2016-09-02 02:39:08,DD-8582-XS,PU-07,fleet.model_daihatsu2,,Kilometers,0,0,4,fleet.vehicle_state_active,1,"fleet.vehicle_tag_senior,fleet.vehicle_tag_leasing,fleet.vehicle_tag_break",Manual,Vehicle Internal
fleet.vehicle_15,2016-09-01,asset.asset_state_operable,,,20000,estate_vehicle.master_unit_3,5454541,Black,,base.user_root,2016-09-01 06:28:53,5,,,Gasoline,0,0,7981,base.user_root,2016-09-02 02:39:08,DM-1572-BB,Mobil Operational,fleet.model_mitsubishi1,,Kilometers,0,0,4,fleet.vehicle_state_active,1,"fleet.vehicle_tag_senior,fleet.vehicle_tag_leasing,fleet.vehicle_tag_break",Manual,Vehicle Internal
